student,title,type,status,final score
advisorj,T07D10,INDIVIDUAL,FAILED,0
almedace,T07D10,INDIVIDUAL,FAILED,0
amadagra,T07D10,INDIVIDUAL,FAILED,0
amandaci,T07D10,INDIVIDUAL,FAILED,0
anyamode,T07D10,INDIVIDUAL,ACCEPTED,73
arethari,T07D10,INDIVIDUAL,FAILED,0
artieulr,T07D10,INDIVIDUAL,FAILED,0
auradaba,T07D10,INDIVIDUAL,FAILED,0
baileyre,T07D10,INDIVIDUAL,FAILED,0
balonchr,T07D10,INDIVIDUAL,FAILED,0
balonsno,T07D10,INDIVIDUAL,FAILED,0
bantamko,T07D10,INDIVIDUAL,ACCEPTED,64
barbrawu,T07D10,INDIVIDUAL,FAILED,0
bethelgr,T07D10,INDIVIDUAL,FAILED,0
billysan,T07D10,INDIVIDUAL,FAILED,0
bornpatr,T07D10,INDIVIDUAL,FAILED,0
brentonc,T07D10,INDIVIDUAL,ACCEPTED,64
brucetoy,T07D10,INDIVIDUAL,FAILED,0
brunavan,T07D10,INDIVIDUAL,FAILED,0
caitdumb,T07D10,INDIVIDUAL,FAILED,0
caladanl,T07D10,INDIVIDUAL,FAILED,0
careymis,T07D10,INDIVIDUAL,FAILED,18
caswelld,T07D10,INDIVIDUAL,FAILED,0
caswellq,T07D10,INDIVIDUAL,ACCEPTED,88
celsafer,T07D10,INDIVIDUAL,FAILED,0
chesthil,T07D10,INDIVIDUAL,FAILED,0
chestshr,T07D10,INDIVIDUAL,FAILED,0
cindiese,T07D10,INDIVIDUAL,FAILED,0
cotterge,T07D10,INDIVIDUAL,FAILED,0
crowbrya,T07D10,INDIVIDUAL,ACCEPTED,89
cumquatl,T07D10,INDIVIDUAL,FAILED,0
cyrusgar,T07D10,INDIVIDUAL,FAILED,0
darcytaj,T07D10,INDIVIDUAL,FAILED,0
daynasar,T07D10,INDIVIDUAL,FAILED,0
deodatth,T07D10,INDIVIDUAL,FAILED,0
desperop,T07D10,INDIVIDUAL,FAILED,0
dhansakp,T07D10,INDIVIDUAL,FAILED,0
dianeevi,T07D10,INDIVIDUAL,ACCEPTED,59
diedraje,T07D10,INDIVIDUAL,FAILED,0
diedrero,T07D10,INDIVIDUAL,FAILED,0
dorrisst,T07D10,INDIVIDUAL,FAILED,0
effietif,T07D10,INDIVIDUAL,FAILED,0
eladiare,T07D10,INDIVIDUAL,FAILED,0
elannama,T07D10,INDIVIDUAL,FAILED,0
elijahth,T07D10,INDIVIDUAL,FAILED,0
ellabaie,T07D10,INDIVIDUAL,FAILED,0
elliottd,T07D10,INDIVIDUAL,FAILED,0
enokiatk,T07D10,INDIVIDUAL,FAILED,0
erenacla,T07D10,INDIVIDUAL,FAILED,0
essieale,T07D10,INDIVIDUAL,FAILED,0
ethicalc,T07D10,INDIVIDUAL,FAILED,0
eulaurro,T07D10,INDIVIDUAL,FAILED,0
evenstar,T07D10,INDIVIDUAL,FAILED,0
farrahro,T07D10,INDIVIDUAL,FAILED,0
fenrircr,T07D10,INDIVIDUAL,FAILED,0
flammezo,T07D10,INDIVIDUAL,FAILED,0
fletamal,T07D10,INDIVIDUAL,FAILED,0
frynneli,T07D10,INDIVIDUAL,FAILED,0
galinagl,T07D10,INDIVIDUAL,FAILED,0
gauntter,T07D10,INDIVIDUAL,FAILED,0
geroldke,T07D10,INDIVIDUAL,FAILED,0
gerstens,T07D10,INDIVIDUAL,FAILED,0
gladisde,T07D10,INDIVIDUAL,FAILED,0
gruntinf,T07D10,INDIVIDUAL,FAILED,0
haywardt,T07D10,INDIVIDUAL,FAILED,0
hilaryle,T07D10,INDIVIDUAL,FAILED,0
hothoreg,T07D10,INDIVIDUAL,FAILED,0
howdjese,T07D10,INDIVIDUAL,FAILED,0
ibleelec,T07D10,INDIVIDUAL,FAILED,0
illaoiar,T07D10,INDIVIDUAL,FAILED,0
isaacshe,T07D10,INDIVIDUAL,FAILED,0
jamissaf,T07D10,INDIVIDUAL,ACCEPTED,67
jasperal,T07D10,INDIVIDUAL,FAILED,0
jeramymi,T07D10,INDIVIDUAL,FAILED,0
joanacla,T07D10,INDIVIDUAL,FAILED,0
johnnyge,T07D10,INDIVIDUAL,FAILED,0
johnsien,T07D10,INDIVIDUAL,FAILED,0
jothskin,T07D10,INDIVIDUAL,FAILED,0
jovansha,T07D10,INDIVIDUAL,ACCEPTED,64
judicarm,T07D10,INDIVIDUAL,FAILED,0
kaciemag,T07D10,INDIVIDUAL,FAILED,0
kafkanor,T07D10,INDIVIDUAL,FAILED,14
karinwin,T07D10,INDIVIDUAL,FAILED,0
kelleeta,T07D10,INDIVIDUAL,ACCEPTED,47
